Date,Open,High,Low,Close,Volume
2016-08-24,970,984,951,970,7338
2016-08-28,970,980,958,970,5090
2016-08-29,965,995,965,965,14088
2016-08-30,983,1002,983,983,16862
2016-08-31,999,1005,985,999,19708
2016-09-01,999,1010,990,999,15887
2016-09-04,998,1029,989,998,13611
2016-09-05,1020,1056,1020,1020,34803
2016-09-06,1043,1055,1011,1043,25608
2016-09-07,1028,1065,1011,1028,62511
2016-09-08,1065,1058,1040,1065,15717
2016-09-11,1054,1075,1042,1054,29449
2016-09-12,1050,1060,1048,1050,29095
2016-09-14,1050,1059,1046,1050,11695
2016-09-18,1050,1052,1035,1050,11307
2016-09-20,1050,1071,1040,1050,42584
2016-09-21,1044,1045,1020,1044,24012
2016-09-22,1025,1032,997,1025,31362
2016-09-25,1019,1020,990,1019,114461
2016-09-26,697,690,659,697,10691
2016-09-27,675,684,672,675,4456
2016-09-28,672,677,670,672,1414
2016-09-29,672,670,660,672,3261
2016-10-02,670,684,670,670,4644
2016-10-03,680,690,670,680,2351
2016-10-04,672,680,667,672,7550
2016-10-05,668,680,667,668,1002
2016-10-06,680,690,670,680,2238
2016-10-16,683,703,679,683,1795
2016-10-17,683,683,660,683,3931
2016-10-18,669,675,661,669,1206
2016-10-19,670,670,660,670,3950
2016-10-20,665,677,661,665,2944
2016-10-23,669,665,655,669,6226
2016-10-24,655,661,649,655,7673
2016-10-25,653,650,640,653,3856
2016-10-26,645,650,640,645,4364
2016-10-27,642,645,630,642,2964
2016-11-03,638,650,626,638,906
2016-11-07,645,646,615,645,1784
2016-11-08,625,630,605,625,5340
2016-11-09,610,613,594,610,5406
2016-11-10,600,607,596,600,4874
2016-11-13,600,610,598,600,7038
2016-11-14,600,609,595,600,6752
2016-11-15,600,612,590,600,7995
2016-11-16,596,600,588,596,4803
2016-11-17,595,595,580,595,5087
2016-11-20,580,571,530,580,6046
2016-11-21,556,565,541,556,6653
2016-11-22,555,560,538,555,6174
2016-11-23,550,540,520,550,9827
2016-11-24,525,540,523,525,10536
2016-11-27,527,528,500,527,14556
2016-11-28,502,535,480,502,20030
2016-11-29,525,560,505,525,6827
2016-11-30,555,589,550,555,17082
2016-12-01,576,590,556,576,12639
2016-12-04,575,571,558,575,3739
2016-12-05,558,558,530,558,3418
2016-12-06,545,555,540,545,3030
2016-12-07,550,553,543,550,1850
2016-12-08,550,550,540,550,4444
2016-12-11,540,541,529,540,3290
2016-12-12,530,530,515,530,1484
2016-12-14,525,535,525,525,5246
2016-12-15,530,542,530,530,4365
2016-12-18,542,540,525,542,6847
2016-12-19,540,535,520,540,6963
2016-12-20,520,530,505,520,9974
2016-12-21,520,525,500,520,6654
2016-12-22,511,513,506,511,8026
2016-12-26,513,510,497,513,7763
2016-12-27,497,506,483,497,10568
2016-12-28,495,505,495,495,5725
2016-12-29,498,526,502,498,19494
2017-01-01,526,555,535,526,18373
2017-01-02,545,560,545,545,19457
2017-01-03,545,550,530,545,8202
2017-01-04,530,535,510,530,6130
2017-01-05,530,533,520,530,8287
2017-01-08,528,529,520,528,5593
2017-01-09,524,540,521,524,5545
2017-01-10,540,550,540,540,4148
2017-01-11,540,550,540,540,8359
2017-01-12,540,546,531,540,5428
2017-01-15,542,542,530,542,2339
2017-01-16,534,536,527,534,2058
2017-01-17,527,529,523,527,3270
2017-01-18,523,530,520,523,3386
2017-01-19,520,529,521,520,1913
2017-01-22,528,531,526,528,2773
2017-01-23,526,524,520,526,2679
2017-01-24,520,530,500,520,7839
2017-01-25,508,505,480,508,25727
2017-01-26,490,490,455,490,33136
2017-01-30,460,465,442,460,12799
2017-01-31,442,464,435,442,11409
2017-02-01,458,485,465,458,9886
2017-02-02,483,500,480,483,15620
2017-02-05,483,492,470,483,3121
2017-02-06,470,468,455,470,5122
2017-02-07,455,463,451,455,4245
2017-02-08,455,460,448,455,9700
2017-02-09,450,453,440,450,12428
2017-02-12,445,453,416,445,11551
2017-02-13,429,443,413,429,11039
2017-02-14,440,447,424,440,13085
2017-02-15,437,456,442,437,12899
2017-02-16,453,460,450,453,16259
2017-02-19,453,452,441,453,23260
2017-02-20,445,455,440,445,17150
2017-02-21,440,465,437,440,18863
2017-02-22,439,442,430,439,22813
2017-02-23,434,442,427,434,14367
2017-02-26,440,445,430,440,6391
2017-02-28,434,426,417,434,16732
2017-03-01,421,430,421,421,5008
2017-03-02,430,435,425,430,5828
2017-03-05,435,448,432,435,12347
2017-03-06,443,456,446,443,9615
2017-03-07,449,443,439,449,5596
2017-03-09,439,452,444,439,3547
2017-03-13,445,450,440,445,5870
2017-03-14,440,450,440,440,9273
2017-03-15,441,449,443,441,3091
2017-03-16,448,452,441,448,9046
2017-03-19,445,454,445,445,10196
2017-03-20,451,465,455,451,16216
2017-03-21,461,484,460,461,26819
2017-03-22,484,515,485,484,46018
2017-03-23,492,514,493,492,42052
2017-03-26,511,562,512,511,86224
2017-03-28,562,606,573,562,63335
2017-03-29,595,615,550,595,122754
2017-03-30,565,577,555,565,151987
2017-04-03,478,525,487,478,86048
2017-04-04,504,508,480,504,38622
2017-04-06,495,495,474,495,42085
2017-04-09,482,485,470,482,26361
2017-04-10,472,485,467,472,24705
2017-04-11,471,494,470,471,29427
2017-04-12,489,500,480,489,43976
2017-04-13,480,482,468,480,25576
2017-04-16,472,481,457,472,14433
2017-04-18,460,460,443,460,26897
2017-04-19,450,469,453,450,15551
2017-04-20,463,483,463,463,32994
2017-04-23,465,511,472,465,45549
2017-04-24,472,474,466,472,23133
2017-04-25,469,472,464,469,17195
2017-04-26,469,472,465,469,9098
2017-04-27,467,475,463,467,15743
2017-04-30,466,470,454,466,18728
2017-05-02,459,468,445,459,22562
2017-05-03,461,478,457,461,13689
2017-05-04,461,478,454,461,10579
2017-05-07,460,464,453,460,5619
2017-05-08,454,465,446,454,16791
2017-05-09,460,461,452,460,21081
2017-05-11,457,466,461,457,12423
2017-05-15,464,471,460,464,10542
2017-05-16,465,465,455,465,7225
2017-05-17,456,460,454,456,4811
2017-05-18,455,458,450,455,6117
2017-05-21,451,460,444,451,10460
2017-05-22,450,450,441,450,3174
2017-05-23,448,455,443,448,6912
2017-05-24,450,456,448,450,11662
2017-05-28,455,455,445,455,9086
2017-05-30,450,450,441,450,7182
2017-05-31,444,455,439,444,8727
2017-06-01,450,459,444,450,14518
2017-06-04,446,450,440,446,10779
2017-06-05,445,450,443,445,12176
2017-06-06,443,458,448,443,10899
2017-06-07,454,463,450,454,14334
2017-06-08,453,452,444,453,6842
2017-06-11,449,448,440,449,7886
2017-06-12,444,446,434,444,9184
2017-06-13,445,444,435,445,13963
2017-06-14,435,440,434,435,8869
2017-06-15,435,442,432,435,15064
2017-06-18,440,440,428,440,19261
2017-06-19,431,431,417,431,21359
2017-06-20,427,429,415,427,12740
2017-06-21,423,425,417,423,6334
2017-06-22,421,429,420,421,16465
2017-06-25,421,426,419,421,10516
2017-06-27,423,425,420,423,11352
2017-06-28,422,428,415,422,10162
2017-07-02,428,430,419,428,14946
2017-07-03,428,430,420,428,7794
2017-07-04,423,426,419,423,13712
2017-07-05,420,425,419,420,11348
2017-07-06,425,437,425,425,18660
2017-07-09,437,446,430,437,20091
2017-07-10,441,440,430,441,12785
2017-07-11,433,440,430,433,9864
2017-07-12,435,440,432,435,8794
2017-07-13,432,437,430,432,12875
2017-07-16,435,435,430,435,4465
2017-07-17,433,448,433,433,16129
2017-07-18,448,472,449,448,27796
